position_id,win,win_g,win_bg,lose_g,lose_bg
4HPhASjgc/ABMA,0.50077164,0.13271606,0.0054012346,0.15200616,0.0077160494
4HPwARHgc/ABMA,0.51620364,0.1550926,0.0069444445,0.13040124,0.008487654
sGfwATDgc+EBKA,0.48533952,0.14274691,0.0077160494,0.1574074,0.008487654
4HPiASjgc+EBKA,0.5625,0.18209876,0.0061728396,0.125,0.008487654
4HPDQRCwZ/ABMA,0.54320985,0.21141976,0.008487654,0.12885803,0.0054012346
hmfhASiwZ/ABMA,0.5324074,0.17206791,0.008487654,0.16743827,0.011574074
sOfgASTgc8NBEA,0.5347222,0.13734567,0.0061728396,0.13657407,0.0077160494
aOfgATDgc8NBEA,0.55169755,0.16203704,0.008487654,0.13117284,0.0046296297
sGfDQRCw5+ABJA,0.47685185,0.1720679,0.0077160494,0.16049384,0.0069444445
4HPDCQiw5+ABJA,0.52932096,0.1882716,0.0046296297,0.111111104,0.0061728396
sNfBASSwZ8MBSA,0.5316358,0.14429013,0.0038580247,0.1574074,0.0015432099
Ys/gASSwZ8MBYA,0.5308642,0.17669754,0.016975308,0.18209878,0.0069444445
sGfDAUiw18EBJA,0.5810185,0.26311728,0.0061728396,0.12808642,0.0061728396
2NbBASSwZ8MBSA,0.4236111,0.13425925,0.0077160494,0.21604937,0.010802469
8LbBASKwZ8MBSA,0.46450615,0.13966049,0.0054012346,0.18055555,0.0069444445
sGfDAUjwtsEBIg,0.60262346,0.23611112,0.0069444445,0.10725309,0.0069444445
xq3BASKwZ8MBYA,0.41743827,0.124228396,0.011574074,0.31790125,0.0077160494
8LbBAyCwZ8MBSA,0.40972224,0.10570987,0.0046296297,0.18209878,0.0069444445
sGfDASLGrcEBIg,0.5447531,0.26234567,0.010030864,0.13734569,0.0069444445
xm2DAQqwZ8MBIg,0.52623457,0.1882716,0.0077160494,0.17438272,0.010030864
xpvBCSCwZ8MBIg,0.52237654,0.16975309,0.0069444445,0.20987654,0.009259259
sNeGAQbGbYMBCg,0.5246914,0.158179,0.009259259,0.11805555,0.0046296297
zM7CASLGbYMBQg,0.5030864,0.21373457,0.010030864,0.17901234,0.0069444445
xt2BAQaw14YBBg,0.53780866,0.10648148,0.0030864198,0.09722222,0.0038580247
xjuDAQaw14YBBg,0.55632716,0.11111111,0.0046296297,0.10570987,0.0038580247
cLcNAQbGO4MBBg,0.44907406,0.10339506,0.0030864198,0.1273148,0.010802469
Ym+GAQbGO4MBBg,0.49074075,0.09953704,0.0038580247,0.10493827,0.0061728396
xjtDCQRwtw0AQw,0.5277778,0.15586421,0.015432099,0.16666667,0.008487654
xnsGAQZwtw0AQw,0.56172836,0.13348766,0.0023148148,0.13580246,0.0046296297
6G4LACPGO0MJQA,0.5023148,0.22530864,0.011574074,0.16589506,0.013117284
4bYNACPGO0MJBA,0.5979938,0.17592593,0.010802469,0.093364194,0.0015432099
xjtDGQBwtwWAUQ,0.32793212,0.054012347,0.0,0.26311728,0.012345679
xnsGCQRwtwWAUQ,0.42669752,0.11651235,0.008487654,0.29012346,0.0146604935
cHcDgCPGO0MZAA,0.68981487,0.21141976,0.0038580247,0.068672836,0.0038580247
cLcFgAvGO0MZAA,0.7106482,0.23456791,0.0054012346,0.055555556,0.00077160494
6LYFgCPGO0MZAA,0.6790124,0.21064815,0.0030864198,0.060185187,0.0030864198
